ConvertedCompYearly,OrgSize,Industry,RemoteWork,JobSat,YearsCodePro,LearnCode,LearnCodeOnline,EdLevel,Employment,DevType
100000.0,20 to 99 employees,Fintech,Remote,7.0,9.0,"Books / Physical media;Colleague;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Other (please specify):","Blogs;Books;Written Tutorials;Coding sessions (live or recorded);How-to videos;AI;Auditory material (e.g., podcasts)",Master,"Independent contractor, freelancer, or self-employed","Developer, full-stack"
128129.0,100 to 499 employees,Banking/Financial Services,"Hybrid (some remote, some in-person)",9.0,6.0,"Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Social Media;How-to videos;Video-based Online Courses;Written-based Online Courses,Other,"Employed, full-time","Developer, full-stack"
44037.0,100 to 499 employees,Other:,"Hybrid (some remote, some in-person)",9.0,12.0,"Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification;Coding Bootcamp",Technical documentation;Blogs;Books;Written Tutorials;Written-based Online Courses;Programming Games,Doctorate,"Employed, full-time","Developer, back-end"
300000.0,20 to 99 employees,Software Development,Remote,9.0,24.0,"Books / Physical media;Colleague;Other online resources (e.g., videos, blogs, forum, online community);Other (please specify):",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;AI,Master,"Employed, full-time",Developer Experience
161109.0,100 to 499 employees,Computer Systems Design and Services,"Hybrid (some remote, some in-person)",10.0,30.0,"Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community)",Blogs;Written Tutorials;Stack Overflow;Social Media;Video-based Online Courses;AI,Other,"Independent contractor, freelancer, or self-employed","Developer, full-stack"
89147.0,"1,000 to 4,999 employees",Other:,"Hybrid (some remote, some in-person)",6.0,14.0,"Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Books;Written Tutorials;Interactive tutorial;Written-based Online Courses,Doctorate,"Employed, full-time","Developer, full-stack"
90221.0,"10,000 or more employees",Software Development,"Hybrid (some remote, some in-person)",5.0,10.0,"Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Social Media;How-to videos;Interactive tutorial;Video-based Online Courses;Written-based Online Courses;AI;Certification videos;Online challenges (e.g., daily or weekly coding challenges);Programming Games",Master,"Employed, full-time","Developer, full-stack"
190000.0,20 to 99 employees,"Transportation, or Supply Chain",Remote,0.0,17.0,"Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification","Technical documentation;Books;Written Tutorials;Stack Overflow;How-to videos;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges)",Bachelor,"Employed, full-time","Developer, full-stack"
31847.0,20 to 99 employees,"Internet, Telecomm or Information Services",In-person,10.0,0.5,"Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Stack Overflow;How-to videos;Video-based Online Courses,Other,"Employed, full-time","Developer, desktop or enterprise applications"
53703.0,20 to 99 employees,Software Development,"Hybrid (some remote, some in-person)",8.0,30.0,"On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)","Technical documentation;Stack Overflow;Social Media;Auditory material (e.g., podcasts)",Master,"Employed, full-time","Developer, full-stack"
